Core:Defs_BillRepeatModeDef_Forever,"{{#set:
|dataType=Def
|defType=BillRepeatModeDef
|defName=Forever
|BillRepeatModeDef.defName=Forever
|BillRepeatModeDef.listOrder=20
}}"
Core:Defs_BillRepeatModeDef_RepeatCount,"{{#set:
|dataType=Def
|defType=BillRepeatModeDef
|defName=RepeatCount
|BillRepeatModeDef.defName=RepeatCount
|BillRepeatModeDef.listOrder=0
}}"
Core:Defs_BillRepeatModeDef_TargetCount,"{{#set:
|dataType=Def
|defType=BillRepeatModeDef
|defName=TargetCount
|BillRepeatModeDef.defName=TargetCount
|BillRepeatModeDef.listOrder=10
}}"
Core:Defs_BillStoreModeDef_BestStockpile,"{{#set:
|dataType=Def
|defType=BillStoreModeDef
|defName=BestStockpile
|BillStoreModeDef.defName=BestStockpile
|BillStoreModeDef.listOrder=10
}}"
Core:Defs_BillStoreModeDef_DropOnFloor,"{{#set:
|dataType=Def
|defType=BillStoreModeDef
|defName=DropOnFloor
|BillStoreModeDef.defName=DropOnFloor
|BillStoreModeDef.listOrder=0
}}"
Core:Defs_BiomeDef_AridShrubland,"{{#set:
|dataType=Def
|defType=BiomeDef
|defName=AridShrubland
|BiomeDef.defName=AridShrubland
|BiomeDef.label=arid shrubland
|BiomeDef.label.zh-cn=干旱灌木原
|BiomeDef.label.zh-tw=乾旱的灌木林
|BiomeDef.description=A dry region, but not dry enough to become a true desert. Open plains with grasses and bushes give way to scattered groves of trees. Plants are hardy and there is a moderate density of animals.
|BiomeDef.description.zh-cn=干旱的地区，但还未干旱成沙漠的地步。开阔的平原，以草地和灌木为主，树木稀少。植物的适应能力很强，动物数量中等。
|BiomeDef.description.zh-tw=一個乾旱的地區，但沒有乾旱到成為沙漠的地步。這裡有廣闊的平原，稀少的樹叢以及中等密度的動物。只有比較堅強的植物才會生長在這裡，
|BiomeDef.workerClass=BiomeWorker_AridShrubland
|BiomeDef.animalDensity=1.3
|BiomeDef.plantDensity=0.16
|BiomeDef.diseaseMtbDays=60
|BiomeDef.factionBaseSelectionWeight=0.95
|BiomeDef.pathCost=Exist
|BiomeDef.pathCost.points=""(0, 0)""
|BiomeDef.baseWeatherCommonalities=""Clear"",""18"";""Fog"",""1"";""Rain"",""2"";""DryThunderstorm"",""1"";""RainyThunderstorm"",""1"";""FoggyRain"",""0.5"";""SnowGentle"",""4"";""SnowHard"",""4""
|BiomeDef.terrainsByFertility=""Sand"",""-999 ~ 0.45"";""Soil"",""0.45 ~ 0.90"";""SoilRich"",""0.90 ~ 999""
|BiomeDef.soundsAmbient=""AmbientNightInsects_Standard""
|BiomeDef.wildPlants=""PlantGrass"",""7.0"";""PlantDandelion"",""0.8"";""PlantBush"",""0.7"";""PlantPincushionCactus"",""0.6"";""PlantTreePoplar"",""0.35"";""PlantAgave"",""0.3"";""PlantSaguaroCactus"",""0.3"";""PlantTreeOak"",""0.25"";""PlantRaspberry"",""0.1""
|BiomeDef.wildAnimals=""Muffalo"",""0.5"";""Gazelle"",""0.5"";""Ibex"",""0.3"";""Alpaca"",""0.2"";""Elephant"",""0.5"";""Squirrel"",""1"";""Boomrat"",""1"";""Iguana"",""0.2"";""Rhinoceros"",""0.15"";""WildBoar"",""0.4"";""Boomalope"",""0.5"";""Emu"",""0.3"";""Ostrich"",""0.5"";""Rat"",""1.0"";""Megasloth"",""0.03"";""Cougar"",""0.08"";""WolfTimber"",""0.01"";""FoxFennec"",""0.03""
|BiomeDef.diseases=""Disease_Flu"",""100"";""Disease_Plague"",""100"";""Disease_FibrousMechanites"",""30"";""Disease_SensoryMechanites"",""30"";""Disease_GutWorms"",""60"";""Disease_MuscleParasites"",""60""
|BiomeDef.allowedPackAnimals=""Muffalo"",""Dromedary""
|BiomeDef.texture=World/Biomes/AridShrubland
}}"
Core:Defs_BiomeDef_BorealForest,"{{#set:
|dataType=Def
|defType=BiomeDef
|defName=BorealForest
|BiomeDef.defName=BorealForest
|BiomeDef.label=boreal forest
|BiomeDef.label.zh-cn=寒带森林
|BiomeDef.label.zh-tw=針葉林
|BiomeDef.description=Forests of coniferous trees. Despite the harsh winters, boreal forests sustain a diverse population of small and large animals, and have warm summers. Snow makes it extremely slow to travel in winter.
|BiomeDef.description.zh-cn=针叶林。尽管寒冬严酷，仍然有多种大型和小型动物的群落繁衍着，也有温暖的夏天。冬季的积雪使得出行变得极为缓慢。
|BiomeDef.description.zh-tw=充滿松樹的北方森林。各類大小型動物克服著寒冷的殘酷環境在這裡生存。冬季的降雪導致在此地的行動非常緩慢。
|BiomeDef.workerClass=BiomeWorker_BorealForest
|BiomeDef.implemented=true
|BiomeDef.animalDensity=1.9
|BiomeDef.plantDensity=0.30
|BiomeDef.diseaseMtbDays=50
|BiomeDef.factionBaseSelectionWeight=0.9
|BiomeDef.pathCost=Exist
|BiomeDef.pathCost.points=""(0, 26000)"",""(0.23, 1750)"",""(0.43, 1750)"",""(0.83, 44000)"",""(1, 26000)""
|BiomeDef.baseWeatherCommonalities=""Clear"",""18"";""Fog"",""1"";""Rain"",""2"";""DryThunderstorm"",""1"";""RainyThunderstorm"",""1"";""FoggyRain"",""1"";""SnowGentle"",""4"";""SnowHard"",""4""
|BiomeDef.terrainsByFertility=""Soil"",""-999 ~ 0.87"";""SoilRich"",""0.87 ~ 999""
|BiomeDef.soundsAmbient=""AmbientNightInsects_Standard""
|BiomeDef.terrainPatchMakers=Exist
|BiomeDef.terrainPatchMakers.Count=1
|BiomeDef.terrainPatchMakers.0=Exist
|BiomeDef.terrainPatchMakers.0.thresholds=""MossyTerrain"",""0.0 ~ 0.32"";""Marsh"",""0.32 ~ 0.76"";""WaterShallow"",""0.76 ~ 0.98"";""WaterDeep"",""0.98 ~ 999""
|BiomeDef.terrainPatchMakers.0.perlinFrequency=0.015
|BiomeDef.wildPlants=""PlantGrass"",""10.0"";""PlantMoss"",""4.0"";""PlantBush"",""3.0"";""PlantTreePine"",""5.0"";""PlantRaspberry"",""1.8"";""PlantTreeBirch"",""1.5"";""PlantTreePoplar"",""1.2"";""PlantWildHealroot"",""0.3""
|BiomeDef.wildAnimals=""Elk"",""0.5"";""Ibex"",""0.4"";""Caribou"",""0.5"";""Muffalo"",""0.5"";""Squirrel"",""1"";""WildBoar"",""0.5"";""Hare"",""1"";""Husky"",""0.01"";""Turkey"",""0.2"";""Deer"",""0.03"";""Rat"",""0.8"";""Megasloth"",""0.03"";""Raccoon"",""0.4"";""GrizzlyBear"",""0.01"";""Cougar"",""0.007"";""Lynx"",""0.007"";""Warg"",""0.007"";""WolfTimber"",""0.07"";""FoxRed"",""0.07"";""WolfArctic"",""0.03"";""FoxArctic"",""0.03""
|BiomeDef.diseases=""Disease_Flu"",""100"";""Disease_Plague"",""100"";""Disease_FibrousMechanites"",""30"";""Disease_SensoryMechanites"",""30"";""Disease_GutWorms"",""50"";""Disease_MuscleParasites"",""50""
|BiomeDef.allowedPackAnimals=""Muffalo""
|BiomeDef.texture=World/Biomes/BorealForest
}}"
Core:Defs_BiomeDef_Desert,"{{#set:
|dataType=Def
|defType=BiomeDef
|defName=Desert
|BiomeDef.defName=Desert
|BiomeDef.label=desert
|BiomeDef.label.zh-cn=沙漠
|BiomeDef.label.zh-tw=沙漠
|BiomeDef.description=A very dry area which supports little life. Deserts can be hot, or quite cold.
|BiomeDef.description.zh-cn=非常干旱的地区，动植物数量稀少。沙漠要么很热要么很冷。
|BiomeDef.description.zh-tw=一個非常乾旱，非常炎熱的地區。這裡的生命非常稀少。
|BiomeDef.workerClass=BiomeWorker_Desert
|BiomeDef.animalDensity=0.25
|BiomeDef.plantDensity=0.05
|BiomeDef.diseaseMtbDays=80
|BiomeDef.factionBaseSelectionWeight=0.65
|BiomeDef.pathCost=Exist
|BiomeDef.pathCost.points=""(0, 0)""
|BiomeDef.baseWeatherCommonalities=""Clear"",""18"";""Rain"",""2"";""DryThunderstorm"",""1"";""RainyThunderstorm"",""1"";""SnowGentle"",""4"";""SnowHard"",""4""
|BiomeDef.terrainsByFertility=""Sand"",""-999 ~ 0.80"";""Soil"",""0.80 ~ 999""
|BiomeDef.wildPlants=""PlantGrass"",""6"";""PlantSaguaroCactus"",""1"";""PlantPincushionCactus"",""1"";""PlantDandelion"",""0.5"";""PlantTreePoplar"",""0.45"";""PlantAgave"",""0.25"";""PlantBush"",""0.25""
|BiomeDef.wildAnimals=""Gazelle"",""0.1"";""Emu"",""0.02"";""Megascarab"",""1"";""Iguana"",""0.7"";""Dromedary"",""0.5"";""Boomalope"",""0.2"";""Ostrich"",""0.2"";""Rat"",""0.30"";""Cougar"",""0.02"";""FoxFennec"",""0.02""
|BiomeDef.diseases=""Disease_Flu"",""100"";""Disease_Plague"",""80"";""Disease_FibrousMechanites"",""30"";""Disease_SensoryMechanites"",""30"";""Disease_GutWorms"",""60"";""Disease_MuscleParasites"",""60""
|BiomeDef.allowedPackAnimals=""Muffalo"",""Dromedary""
|BiomeDef.texture=World/Biomes/Desert
}}"
Core:Defs_BiomeDef_ExtremeDesert,"{{#set:
|dataType=Def
|defType=BiomeDef
|defName=ExtremeDesert
|BiomeDef.defName=ExtremeDesert
|BiomeDef.label=extreme desert
|BiomeDef.label.zh-cn=极端沙漠
|BiomeDef.label.zh-tw=極端沙漠
|BiomeDef.description=An extremely hot, dry area, devoid of almost all living creatures. Immense heat and limited vegetation make it very difficult to survive here, even for well-adapted animals.
|BiomeDef.description.zh-cn=极端炎热干旱的地区，几乎没有生物的痕迹。极高的温度和有限的植物使此处非常难以生存，即使是适应力很强的动物也是如此。
|BiomeDef.description.zh-tw=一個極度炎熱、極度乾旱的地區，只有極少量生物。極端的高溫及稀疏的植被使生存顯得非常困難，即使對原生動物也是如此。
|BiomeDef.workerClass=BiomeWorker_ExtremeDesert
|BiomeDef.animalDensity=0.05
|BiomeDef.plantDensity=0.002
|BiomeDef.diseaseMtbDays=90
|BiomeDef.factionBaseSelectionWeight=0.42
|BiomeDef.hasVirtualPlants=false
|BiomeDef.pathCost=Exist
|BiomeDef.pathCost.points=""(0, 0)""
|BiomeDef.baseWeatherCommonalities=""Clear"",""18"";""Rain"",""1"";""DryThunderstorm"",""1"";""RainyThunderstorm"",""1"";""SnowGentle"",""1.5"";""SnowHard"",""1""
|BiomeDef.terrainsByFertility=""Sand"",""-999 ~ 999""
|BiomeDef.wildPlants=""PlantGrass"",""6"";""PlantSaguaroCactus"",""1"";""PlantAgave"",""0.25""
|BiomeDef.wildAnimals=""Megascarab"",""1"";""Iguana"",""0.3"";""Rat"",""0.15"";""Dromedary"",""0.15"";""FoxFennec"",""0.04""
|BiomeDef.diseases=""Disease_Flu"",""100"";""Disease_Plague"",""80"";""Disease_FibrousMechanites"",""30"";""Disease_SensoryMechanites"",""30"";""Disease_GutWorms"",""40"";""Disease_MuscleParasites"",""40""
|BiomeDef.allowedPackAnimals=""Muffalo"",""Dromedary""
|BiomeDef.texture=World/Biomes/ExtremeDesert
}}"
Core:Defs_BiomeDef_IceSheet,"{{#set:
|dataType=Def
|defType=BiomeDef
|defName=IceSheet
|BiomeDef.defName=IceSheet
|BiomeDef.label=ice sheet
|BiomeDef.label.zh-cn=冰原
|BiomeDef.label.zh-tw=冰原
|BiomeDef.description=The surface is covered with sheets of ice which can be kilometers thick. No soil, no plants. The only animals here are migrating to somewhere else - or badly lost. Snow slows down travel, but there are ice sheets that provide smooth walking.
|BiomeDef.description.zh-cn=这个地区的地表被几千米厚的冰层覆盖着，这里没有土地，没有植物。这里的动物不是迁移到别的地方了就是在恶劣环境下灭绝了。积雪使得出行变得缓慢，但有冰盖可以提供平坦的路面。
|BiomeDef.description.zh-tw=這個地區的地表被幾千公尺厚的冰層覆蓋著，這裡沒有土地或者岩石，當然也沒有植物。這裡的動物不是遷徙到别的地方了就是在惡劣環境下滅絕了。積雪會減緩行動，但冰蓋提供了平穩的通路。
|BiomeDef.workerClass=BiomeWorker_IceSheet
|BiomeDef.allowRoads=false
|BiomeDef.allowRivers=false
|BiomeDef.animalDensity=0.1
|BiomeDef.plantDensity=0
|BiomeDef.diseaseMtbDays=90
|BiomeDef.factionBaseSelectionWeight=0.15
|BiomeDef.hasVirtualPlants=false
|BiomeDef.pathCost=Exist
|BiomeDef.pathCost.points=""(0, 5500)""
|BiomeDef.baseWeatherCommonalities=""Clear"",""12"";""Fog"",""0"";""Rain"",""0"";""DryThunderstorm"",""2"";""RainyThunderstorm"",""0"";""FoggyRain"",""0"";""SnowGentle"",""20"";""SnowHard"",""40""
|BiomeDef.terrainsByFertility=""Ice"",""-999 ~ 999""
|BiomeDef.soundsAmbient=""AmbientWind_Desolate""
|BiomeDef.terrainPatchMakers=Exist
|BiomeDef.terrainPatchMakers.Count=1
|BiomeDef.terrainPatchMakers.0=Exist
|BiomeDef.terrainPatchMakers.0.thresholds=""WaterShallow"",""0.76 ~ 0.98"";""WaterDeep"",""0.98 ~ 999""
|BiomeDef.terrainPatchMakers.0.perlinFrequency=0.015
|BiomeDef.wildAnimals=""Snowhare"",""1"";""Muffalo"",""0.08"";""Megasloth"",""0.003"";""PolarBear"",""0.08"";""Lynx"",""0.01"";""WolfArctic"",""0.02"";""FoxArctic"",""0.02""
|BiomeDef.diseases=""Disease_Flu"",""100"";""Disease_Plague"",""80"";""Disease_FibrousMechanites"",""30"";""Disease_SensoryMechanites"",""30""
|BiomeDef.allowedPackAnimals=""Muffalo""
|BiomeDef.texture=World/Biomes/IceSheet
}}"
